40,0,33,8
57,0,26,32,27
6,1,27
32,0,20,54
4,1,25,6,47
27,0,52,20,12
48,0,33
40,0,38
42,0,10
25,1,12,41,50
2,0,6,21,33
51,0,42,15,0
52,0,28,44,18
34,0,14,36
58,0,38,35,15
25,1,49
12,0,21,33,16
56,0,31
35,0,15,4
30,0,38,18
58,0,43,40,14
31,0,15,44
7,1
33,1
41,1
6,1
6,1
25,1
47,1
49,1
